SMILES,Docked_SMILES,Score
C1=CC=C2C=C(C=CC2=C1)OC(=O)C3=CC=C(C=C3)[N+](=O)[O-],O=C(Oc1ccc2ccccc2c1)c1ccc([N+](=O)[O-])cc1,-9
CCCCCCCCCCCCCCNCCO,CCCCCCCCCCCCCCNCCO,-5.4
CC1=CC=C(C=C1)C(=O)C2=C(SC3=C2CCCC3)N,Cc1ccc(C(=O)c2c(N)sc3c2CCCC3)cc1,-7.6
C1=CC=C(C=C1)COC(=O)N[C@@H](CC(=O)O)C(=O)COC(=O)C2=C(C=CC=C2Cl)Cl,O=C(O)C[C@H](NC(=O)OCc1ccccc1)C(=O)COC(=O)c1c(Cl)cccc1Cl,-7.9
CN1C(=NC=N1)[C@H]2[C@@H](NC3=CC(=CC4=C3C2=NNC4=O)F)C5=CC=C(C=C5)F,Cn1ncnc1[C@@H]1c2n[nH]c(=O)c3cc(F)cc(c23)N[C@H]1c1ccc(F)cc1,-8.6
CCCCCCCCCCCCCCC/C=C/[C@H]([C@H](CO)N)O,CCCCCCCCCCCCCCC/C=C/[C@@H](O)[C@@H](N)CO,-5.5
CC/C=C\C[C@@H]([C@@H](/C=C/C=C/C=C\C=C\[C@H](CCCCCC(=O)O)O)O)O,CC/C=C\C[C@H](O)[C@H](O)/C=C/C=C/C=C\C=C\[C@@H](O)CCCCCC(=O)O,-6.8
COC1=CC=C(C=C1)C2=NC3=C(C=CC=C3C(=O)N)C=C2,COc1ccc(-c2ccc3cccc(C(N)=O)c3n2)cc1,-8.1
C1=CC=C(C=C1)N2C=C(N=N2)CSC3=NN=C(O3)C4=CC=C(C=C4)Cl,Clc1ccc(-c2nnc(SCc3cn(-c4ccccc4)nn3)o2)cc1,-7.9
CCN(CC)CCNC(=O)C1=CC=CC=C1I,CCN(CC)CCNC(=O)c1ccccc1I,-6.3
CC1=CC[C@@H]2[C@@H](C1)C3=C(C=C(C=C3OC2(C)C)CC#CCCCNS(=O)(=O)C)O,CC1=CC[C@@H]2[C@@H](C1)c1c(O)cc(CC#CCCCNS(C)(=O)=O)cc1OC2(C)C,-8.7
C1C(=O)OC(C(N1C(=O)OCC2=CC=CC=C2)C3=CC=CC=C3)C4=CC=CC=C4,O=C1CN(C(=O)OCc2ccccc2)C(c2ccccc2)C(c2ccccc2)O1,-8.1
