SMILES,Docked_SMILES,Score
CC1C(=O)NC2=C(N=C(N=C2N1C)NCC3=CN(N=C3)CC4=CN=C(C=C4)C(F)(F)F)C,Cc1nc(NCc2cnn(Cc3ccc(C(F)(F)F)nc3)c2)nc2c1NC(=O)C(C)N2C,-7.8
CC1=NC2=CC=CC=C2C(=C1)COC3=CC=C(C=C3)S(=O)(=O)C4(CCN(CC4)C=O)C(=O)NO,Cc1cc(COc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C=O)CC3)cc2)c2ccccc2n1,-8.5
CNCC1=NC=C(S1)S(=O)(=O)C2=CC(=CC(=C2)S(=O)(=O)C)C3=CC=CC=C3,CNCc1ncc(S(=O)(=O)c2cc(-c3ccccc3)cc(S(C)(=O)=O)c2)s1,-7.6
COC1=C2C(=CNC2=C(C=C1)C#N)C(=O)C(=O)N3CCN(CC3)C(=O)C4=CC=CC=C4,COc1ccc(C#N)c2[nH]cc(C(=O)C(=O)N3CCN(C(=O)c4ccccc4)CC3)c12,-8.6
C[C@H](C(=O)NC/C=C/S(=O)(=O)C)OC1=C(C=C(C=C1)Br)Br,C[C@@H](Oc1ccc(Br)cc1Br)C(=O)NC/C=C/S(C)(=O)=O,-7.3
C1CC(C2=CC=CC=C2C1)OCC(CN3CCN(CC3)S(=O)(=O)C4=CC=CS4)O,O=S(=O)(c1cccs1)N1CCN(CC(O)COC2CCCc3ccccc32)CC1,-8.4
CC1=CC(=C(N1CC2CCCO2)C)C(=O)CN3C(=O)C4=CC=CC=C4S3(=O)=O,Cc1cc(C(=O)CN2C(=O)c3ccccc3S2(=O)=O)c(C)n1CC1CCCO1,-7.5
CCOC1=CC(=C(C(=C1)O[C@@H]2CCOC2)F)[C@H](C(=O)O)NC3=CC=C(C=C3)C(=N)N,CCOc1cc(O[C@@H]2CCOC2)c(F)c([C@@H](Nc2ccc(C(=N)N)cc2)C(=O)O)c1,-7.6
CC(C(=O)NC1CCCC2CC3CCN(CC3N2C1=O)CCC4=CC=C(C=C4)C(F)(F)F)NC,CNC(C)C(=O)NC1CCCC2CC3CCN(CCc4ccc(C(F)(F)F)cc4)CC3N2C1=O,-8.3
CN(C)CCN(C)CCN1C2=C(C=NC3=CC4=C(C=C32)OCO4)C5=CC(=C(C=C5C1=O)OC)OC,COc1cc2c(=O)n(CCN(C)CCN(C)C)c3c4cc5c(cc4ncc3c2cc1OC)OCO5,-7.9
COC1=CC=CC(=C1)NC(=O)C2CCCN(C2)S(=O)(=O)C3=CC=CC4=NSN=C43,COc1cccc(NC(=O)C2CCCN(S(=O)(=O)c3cccc4nsnc34)C2)c1,-8.9
C1CS(=O)(=O)CC1NC(=O)CCCCCN2C(=O)C3=CC=CC4=C3C(=CC=C4)C2=O,O=C(CCCCCN1C(=O)c2cccc3cccc(c23)C1=O)NC1CCS(=O)(=O)C1,-9.7
C1C[C@H](N(C1)C(=O)[C@@H]2CC[C@@H](N2)COC3=CC4=C(C(=C3)Br)OCO4)C#N,N#C[C@@H]1CCCN1C(=O)[C@@H]1CC[C@H](COc2cc(Br)c3c(c2)OCO3)N1,-7.5
CC(C)COC1=C(C=C(C=N1)C2=C(C=C(C=N2)C(=O)NS(=O)(=O)C)F)Cl,CC(C)COc1ncc(-c2ncc(C(=O)NS(C)(=O)=O)cc2F)cc1Cl,-8.2
CC1=NC2=CC=CC=C2C(=C1)COC3=CC=C(C=C3)S(=O)(=O)C4(CCN(CC4)C)C(=O)NO,Cc1cc(COc2ccc(S(=O)(=O)C3(C(=O)NO)CCN(C)CC3)cc2)c2ccccc2n1,-8.2
CC1=NC2=CC=CC=C2C(=C1)COC3=CC=C(C=C3)S(=O)(=O)C4(CCNCC4)C(=O)NO,Cc1cc(COc2ccc(S(=O)(=O)C3(C(=O)NO)CCNCC3)cc2)c2ccccc2n1,-8.7
COC1=CC=C(C=C1)S(=O)(=O)N2C(=CC(=N2)OC(=O)C3=CC=CC=C3Br)N,COc1ccc(S(=O)(=O)n2nc(OC(=O)c3ccccc3Br)cc2N)cc1,-9.2
COC1=C(C=C(C=N1)C2=CC(=CC=C2)S(=O)(=O)NC3=CC=CC=C3S(=O)(=O)N)Cl,COc1ncc(-c2cccc(S(=O)(=O)Nc3ccccc3S(N)(=O)=O)c2)cc1Cl,-8.4
CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2CC3=CC=CC=C3CC2C(=O)O,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,-7.3
C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2([C@@]1([C@@H](C(=O)C3=C2[C@H](C[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)O)O)C)C,C[C@H](CCC(=O)O)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)[C@@H](O)[C@]12C)[C@@]1(C)CC[C@H](O)C(C)(C)[C@@H]1C[C@@H]3O,-8.5
CC(C)(C)[C@H]1CC[C@H](N1C(=O)CCCC2=CC=CC=C2)C(=O)N3CCC[C@H]3C(=O)CO,CC(C)(C)[C@H]1CC[C@@H](C(=O)N2CCC[C@H]2C(=O)CO)N1C(=O)CCCc1ccccc1,-7.2
CN1C=C(C=N1)C2=CC(=NC3=C2C=CC(=C3F)CN4CCO[C@@H](C4)C(F)(F)F)C(=O)N,Cn1cc(-c2cc(C(N)=O)nc3c(F)c(CN4CCO[C@H](C(F)(F)F)C4)ccc23)cn1,-8.6
CN1C=C(C=N1)C2=CC(=NC3=C2C=CC(=C3)CN4CCO[C@H](C4)C(F)(F)F)C(=O)N,Cn1cc(-c2cc(C(N)=O)nc3cc(CN4CCO[C@@H](C(F)(F)F)C4)ccc23)cn1,-8.6
CN1CCN(CC1)C2=CC(=NC(=N2)C(F)(F)F)N3CCC3C(=O)NCCC4=CC=C(C=C4)C#N,CN1CCN(c2cc(N3CCC3C(=O)NCCc3ccc(C#N)cc3)nc(C(F)(F)F)n2)CC1,-9.1
CC(C)N1C2=CC=CC=C2N(C1=O)CC3=NC4=CC=CC=C4N3CCC5=NOC(=O)N5,CC(C)n1c(=O)n(Cc2nc3ccccc3n2CCc2noc(=O)[nH]2)c2ccccc21,-9.5
CC(C)N(C(=O)C1CCCC[C@H]1C(=O)N[C@H]2CC(=O)OC2O)NC(=O)C3=CC4=CC=CC=C4C=C3,CC(C)N(NC(=O)c1ccc2ccccc2c1)C(=O)C1CCCC[C@H]1C(=O)N[C@H]1CC(=O)OC1O,-9.4
C1CC1N2C=C(N=N2)C(=O)NC3CN(C3)CC4=CN(N=C4)CC5=CC=C(C=C5)Cl,O=C(NC1CN(Cc2cnn(Cc3ccc(Cl)cc3)c2)C1)c1cn(C2CC2)nn1,-8.0
C1CN(CCN1CCO)C2C(C3=CC=CC4=C3C2=CC=C4)NS(=O)(=O)C5=CC=CC=C5,O=S(=O)(NC1c2cccc3cccc(c23)C1N1CCN(CCO)CC1)c1ccccc1,-9.3
